Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1961","1961","ha","275822","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1962","1962","ha","270351","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1963","1963","ha","274722","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1964","1964","ha","282967","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1965","1965","ha","275654","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1966","1966","ha","313812","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1967","1967","ha","316319","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1968","1968","ha","305691","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1969","1969","ha","286470","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1970","1970","ha","275229","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1971","1971","ha","273849","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1972","1972","ha","274404","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1973","1973","ha","266287","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1974","1974","ha","269131","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1975","1975","ha","269567","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1976","1976","ha","289328","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1977","1977","ha","285158","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1978","1978","ha","286038","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1979","1979","ha","270188","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1980","1980","ha","268753","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1981","1981","ha","274286","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1982","1982","ha","289090","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1983","1983","ha","312883","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1984","1984","ha","315126","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1985","1985","ha","319837","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1986","1986","ha","324415","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1987","1987","ha","320366","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1988","1988","ha","291938","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1989","1989","ha","278068","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1990","1990","ha","278226","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1991","1991","ha","271068","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1992","1992","ha","245728","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1993","1993","ha","240971","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1994","1994","ha","240961","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1995","1995","ha","255910","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1996","1996","ha","247602","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1997","1997","ha","259832","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1998","1998","ha","264405","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1999","1999","ha","260579","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2000","2000","ha","293806","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2001","2001","ha","287777","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2002","2002","ha","288764","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2003","2003","ha","272001","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2004","2004","ha","290174","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2005","2005","ha","288960","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2006","2006","ha","284577","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2007","2007","ha","292976","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2008","2008","ha","296775","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2009","2009","ha","309034","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2010","2010","ha","302852","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2011","2011","ha","304334","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2012","2012","ha","308179","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2013","2013","ha","297286","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2014","2014","ha","304645","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2015","2015","ha","302965","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2016","2016","ha","315088","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2017","2017","ha","295029","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2018","2018","ha","294290","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2019","2019","ha","278340","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2020","2020","ha","279020","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2021","2021","ha","279860","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1961","1961","hg/ha","25802","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1962","1962","hg/ha","26122","E","Estimated value"
